,ct_year,SESi
84,1991_5350001.00,-3.2987718462877895
85,1991_5350002.00,-1.6482175787026583
87,1991_5350004.00,-4.950246921447479
88,1991_5350005.00,-4.758711245909115
90,1991_5350007.01,-3.2204215870540023
91,1991_5350007.02,-4.634468621110758
92,1991_5350008.01,-3.410443001278511
93,1991_5350008.02,-3.410443001278511
95,1991_5350010.01,-1.9816313668517145
96,1991_5350010.02,-1.9816313668517145
97,1991_5350011.00,-3.050527460853365
98,1991_5350012.01,-1.529329096259226
99,1991_5350012.03,-1.529329096259226
100,1991_5350012.04,-1.529329096259226
101,1991_5350013.01,1.2765994298428882
102,1991_5350013.02,1.2765994298428882
103,1991_5350014.00,1.759058072125393
104,1991_5350015.00,2.6223034806174788
105,1991_5350016.00,-1.5960991388142514
106,1991_5350017.00,-1.1079739511358355
107,1991_5350018.00,-4.096766803509162
108,1991_5350019.00,-3.639489601127284
110,1991_5350021.00,0.4468436582162385
111,1991_5350022.00,1.3055389791764855
112,1991_5350023.00,1.8586614875747878
113,1991_5350024.00,0.1847705104978427
114,1991_5350025.00,-1.8239703505861717
115,1991_5350026.00,-2.780855485357838
116,1991_5350027.00,-3.111389121855123
117,1991_5350028.01,-2.132294561348464
118,1991_5350028.02,-2.132294561348464
119,1991_5350029.00,-3.4814875919746857
120,1991_5350030.00,-6.5436767057753125
121,1991_5350031.00,-9.275271928314048
123,1991_5350033.00,-4.902866931418207
124,1991_5350034.01,-1.2743632538057426
125,1991_5350034.02,-1.2743632538057426
126,1991_5350035.00,-0.6018126865276701
127,1991_5350036.00,-2.1347189382140948
128,1991_5350037.00,-2.0417936539012422
129,1991_5350038.00,-3.3577620894165534
130,1991_5350039.00,-4.772831746846011
131,1991_5350040.00,-2.3522407179433746
132,1991_5350041.00,-2.572544822694271
133,1991_5350042.00,-1.9920345708380593
134,1991_5350043.00,-2.3061633678740363
135,1991_5350044.00,-2.379325390474737
136,1991_5350045.00,-3.5089137398887935
137,1991_5350046.00,-3.0771061754470463
138,1991_5350047.02,-3.9083261998922185
139,1991_5350047.03,-3.9083261998922185
140,1991_5350047.04,-3.9083261998922225
141,1991_5350048.00,-2.2500310970664996
142,1991_5350049.00,-0.8568893447584996
143,1991_5350050.01,0.6902582551701627
144,1991_5350050.03,0.3098591686155833
145,1991_5350050.04,0.3098591686155833
146,1991_5350051.00,-0.37593856952945154
147,1991_5350052.00,-1.991298219288597
148,1991_5350053.00,-3.397210621608528
149,1991_5350054.00,-3.51832207198668
150,1991_5350055.00,-1.5542285547970331
151,1991_5350056.00,-2.4179464485294404
152,1991_5350057.00,-1.5122805526327603
153,1991_5350058.00,-1.0046728180856175
154,1991_5350059.00,-0.4549211191391479
155,1991_5350060.00,-1.7696323863298073
156,1991_5350061.00,-1.730446942257653
157,1991_5350062.01,-0.4279122514332203
158,1991_5350062.02,-0.42791225143321615
159,1991_5350063.03,-1.1574306687773783
160,1991_5350063.04,-1.1574306687773783
161,1991_5350063.05,-0.6950721004434148
162,1991_5350063.06,-0.6950721004434148
163,1991_5350064.00,-1.934206681917613
164,1991_5350065.01,-4.97995561569691
165,1991_5350065.02,-4.97995561569691
166,1991_5350066.00,-1.8513092116101566
167,1991_5350067.00,1.549318595290186
168,1991_5350068.00,-0.5728334409888414
169,1991_5350069.00,-0.8538371255541978
170,1991_5350070.00,0.14936337391565915
171,1991_5350071.00,-0.3077595675524193
172,1991_5350072.01,-3.0353185845790995
173,1991_5350072.02,-3.0353185845791115
174,1991_5350073.00,-1.5826746405524597
175,1991_5350074.00,-3.3395343021450206
176,1991_5350075.00,-2.185242299263255
