,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
0,5350001.00,,,,,,,,,,,,,,,,,,,,,,,
1,5350002.00,,,,,,,,,,,,,,,,,,,,,,,
2,5350003.00,,,,,,,,,,,,,,,,,,,,,,,
3,5350004.00,,,,,,,,,,,,,,,,,,,,,,,
4,5350005.00,,,,,,,,,,,,,,,,,,,,,,,
5,5350006.00,,,,,,,,,,,,,,,,,,,,,,,
6,5350007.01,,,,,,,,,,,,,,,,,,,,,,,
7,5350007.02,,,,,,,,,,,,,,,,,,,,,,,
8,5350008.01,,,,,,,,,,,,,,,,,,,,,,,
9,5350008.02,,,,,,,,,,,,,,,,,,,,,,,
10,5350009.00,,,,,,,,,,,,,,,,,,,,,,,
11,5350010.01,,,,,,,,,,,,,,,,,,,,,,,
12,5350010.02,,,,,,,,,,,,,,,,,,,,,,,
13,5350011.00,,,,,,,,,,,,,,,,,,,,,,,
14,5350012.01,,,,,,,,,,,,,,,,,,,,,,,
15,5350012.03,,,,,,,,,,,,,,,,,,,,,,,
16,5350012.04,,,,,,,,,,,,,,,,,,,,,,,
17,5350013.01,,,,,,,,,,,,,,,,,,,,,,,
18,5350013.02,,,,,,,,,,,,,,,,,,,,,,,
19,5350014.00,,,,,,,,,,,,,,,,,,,,,,,
20,5350015.00,,,,,,,,,,,,,,,,,,,,,,,
21,5350016.00,,,,,,,,,,,,,,,,,,,,,,,
22,5350017.00,,,,,,,,,,,,,,,,,,,,,,,
23,5350018.00,,,,,,,,,,,,,,,,,,,,,,,
24,5350019.00,,,,,,,,,,,,,,,,,,,,,,,
25,5350020.00,,,,,,,,,,,,,,,,,,,,,,,
26,5350021.00,,,,,,,,,,,,,,,,,,,,,,,
27,5350022.00,,,,,,,,,,,,,,,,,,,,,,,
28,5350023.00,,,,,,,,,,,,,,,,,,,,,,,
29,5350024.00,,,,,,,,,,,,,,,,,,,,,,,
30,5350025.00,,,,,,,,,,,,,,,,,,,,,,,
31,5350026.00,,,,,,,,,,,,,,,,,,,,,,,
32,5350027.00,,,,,,,,,,,,,,,,,,,,,,,
33,5350028.01,,,,,,,,,,,,,,,,,,,,,,,
34,5350028.02,,,,,,,,,,,,,,,,,,,,,,,
35,5350029.00,,,,,,,,,,,,,,,,,,,,,,,
36,5350030.00,,,,,,,,,,,,,,,,,,,,,,,
37,5350031.00,,,,,,,,,,,,,,,,,,,,,,,
38,5350032.00,,,,,,,,,,,,,,,,,,,,,,,
39,5350033.00,,,,,,,,,,,,,,,,,,,,,,,
40,5350034.01,,,,,,,,,,,,,,,,,,,,,,,
41,5350034.02,,,,,,,,,,,,,,,,,,,,,,,
42,5350035.00,,,,,,,,,,,,,,,,,,,,,,,
43,5350036.00,,,,,,,,,,,,,,,,,,,,,,,
44,5350037.00,,,,,,,,,,,,,,,,,,,,,,,
45,5350038.00,,,,,,,,,,,,,,,,,,,,,,,
46,5350039.00,,,,,,,,,,,,,,,,,,,,,,,
47,5350040.00,,,,,,,,,,,,,,,,,,,,,,,
48,5350041.00,,,,,,,,,,,,,,,,,,,,,,,
49,5350042.00,,,,,,,,,,,,,,,,,,,,,,,
50,5350043.00,,,,,,,,,,,,,,,,,,,,,,,
51,5350044.00,,,,,,,,,,,,,,,,,,,,,,,
52,5350045.00,,,,,,,,,,,,,,,,,,,,,,,
53,5350046.00,,,,,,,,,,,,,,,,,,,,,,,
54,5350047.02,,,,,,,,,,,,,,,,,,,,,,,
55,5350047.03,,,,,,,,,,,,,,,,,,,,,,,
56,5350047.04,,,,,,,,,,,,,,,,,,,,,,,
57,5350048.00,,,,,,,,,,,,,,,,,,,,,,,
58,5350049.00,,,,,,,,,,,,,,,,,,,,,,,
59,5350050.01,,,,,,,,,,,,,,,,,,,,,,,
