"","ctuid","bg_mean","bg_median","bg_scale"
"1","5350001.00",3,3,9.26822307231939
"2","5350002.00",2,2,-6.40093294705821
"3","5350003.00",4,4,4.93379515345702
"4","5350004.00",1,1,2.86827778910349
"5","5350005.00",1,1,3.77661293970992
"6","5350006.00",2,2,1.5013049463437
"7","5350007.01",1,1,2.17437766962308
"8","5350007.02",1,1,1.74253554032694
"9","5350008.01",1,1,8.80122165978551
"10","5350008.02",1,1,7.98884465907281
"11","5350009.00",3,3,-2.54840266959504
"12","5350010.01",2,2,6.7130206453612
"13","5350010.02",2,2,5.86620239374138
"14","5350011.00",2,2,6.46356265589255
"15","5350012.01",2,2,0.750763823390905
"16","5350012.03",1,1,2.90945404589545
"17","5350012.04",2,2,1.48329237454101
"18","5350013.01",2,2,1.61780417144212
"19","5350013.02",2,2,2.14240480122588
"20","5350014.00",2,2,1.64820971048925
"21","5350015.00",2,2,1.19659846515195
"22","5350016.00",2,2,6.15649949931125
"23","5350017.00",1,1,1.22008970656528
"24","5350018.00",0,0,1.43387533836819
"25","5350019.00",3,3,4.83943302030102
"26","5350020.00",3,3,-1.99715311936177
"27","5350021.00",3,3,-1.78907753704132
"28","5350022.00",1,1,-1.13061607244788
"29","5350023.00",1,1,-1.36613786937343
"30","5350024.00",2,2,0.438978982857514
"31","5350025.00",3,3,1.05917318880497
"32","5350026.00",2,2,3.74641327504996
"33","5350027.00",3,3,1.82072534617336
"34","5350028.01",2,2,6.15071724897922
"35","5350028.02",2,2,5.52794960581849
"36","5350029.00",2,2,5.45815739737429
"37","5350030.00",2,2,9.29036192206195
"38","5350031.00",2,2,8.36813005054175
"39","5350032.00",2,2,3.33968731272975
"40","5350033.00",1,1,2.69314731808488
"41","5350034.01",1,1,2.34844195890019
"42","5350034.02",1,1,2.18757506700453
"43","5350035.00",3,3,1.36864939230304
"44","5350036.00",2,2,5.14046907986456
"45","5350037.00",3,3,4.54245315807516
"46","5350038.00",2,2,3.02544566592373
"47","5350039.00",2,2,1.79168898673437
"48","5350040.00",2,2,3.60549316891677
