"ctuid","area_km"
"x",0
5320000.00,903.69
5320001.00,6.66
5320002.01,2.27
5320002.02,1.14
5320002.03,7.08
5320003.01,2.48
5320003.02,2.51
5320004.01,0.94
5320004.02,1.55
5320005.00,1.12
5320006.00,1.44
5320007.00,1.59
5320008.01,1.77
5320008.02,1.25
5320008.03,1.89
5320008.05,2.05
5320008.06,1.89
5320008.07,3.40
5320009.01,1.02
5320009.02,0.97
5320009.03,1.70
5320009.04,1.03
5320009.05,1.72
5320010.00,1.30
5320011.00,1.96
5320012.01,0.82
5320012.02,1.33
5320013.00,5.21
5320014.01,1.13
5320014.02,0.59
5320015.02,2.21
5320015.03,0.82
5320015.04,5.28
5320016.01,3.30
5320016.03,3.32
5320016.04,70.91
5320100.01,16.21
5320100.02,2.67
5320100.03,5.93
5320101.02,2.55
5320101.03,1.69
5320101.04,1.70
5320101.05,3.40
5320101.06,2.35
5320102.01,1.03
5320102.02,0.67
5320102.03,1.43
5320103.00,1.16
5320104.00,1.70
5320105.03,5.80
5320105.04,1.70
5320105.05,1.10
5320105.06,0.62
5320105.07,1.96
5320105.08,1.45
5320105.09,1.04
5320105.1,1.46
5320105.12,3.77
5320105.14,15.91
5320105.15,14.30
5320105.16,3.00
5320105.17,52.03
5320200.00,267.73
5320201.01,12.06
5320201.02,25.23
5320202.04,2.20
5320202.05,1.71
5320202.08,3.02
5320202.09,2.00
5320202.11,2.97
5320202.12,1.45
5320202.13,1.79
5320202.14,32.62
5320202.15,2.21
5320202.16,60.74
5320202.17,2.12
5320202.18,13.62
5320203.01,1.81
5320203.02,2.62
5320203.03,1.51
5320203.04,3.51
5320204.00,5.08
5320205.01,0.21
5320205.02,3.47
5320206.00,161.72
5350000.00,5905.84
5350001.00,6.10
5350002.00,3.17
5350003.00,0.91
5350004.00,0.34
5350005.00,0.38
5350006.00,0.01
5350007.01,0.20
5350007.02,0.44
5350008.01,0.30
5350008.02,1.86
5350009.00,0.10
5350010.01,0.26
5350010.02,0.55
5350011.00,0.98
5350012.01,0.42
5350012.03,0.47
5350012.04,0.23
5350013.01,0.34
5350013.02,0.42
5350014.00,0.47
5350015.00,0.29
5350016.00,0.65
5350017.00,1.34
5350018.00,0.35
5350019.00,0.25
5350020.00,0.74
5350021.00,0.87
5350022.00,0.55
5350023.00,0.69
5350024.00,0.71
5350025.00,0.53
5350026.00,0.78
5350027.00,0.49
5350028.01,0.21
5350028.02,0.46
5350029.00,0.67
5350030.00,0.38
5350031.00,0.26
5350032.00,0.42
5350033.00,0.32
5350034.01,0.12
5350034.02,0.40
5350035.00,0.66
5350036.00,0.38
5350037.00,0.45
5350038.00,0.37
5350039.00,0.32
5350040.00,0.37
5350041.00,0.32
5350042.00,0.49
5350043.00,0.55
5350044.00,0.49
5350045.00,0.30
5350046.00,0.42
5350047.02,0.29
5350047.03,0.12
5350047.04,0.27
5350048.00,0.34
5350049.00,0.46
5350050.01,1.28
5350050.03,1.70
5350050.04,0.76
5350051.00,0.69
5350052.00,0.50
5350053.00,0.68
5350054.00,0.70
5350055.00,0.28
5350056.00,0.51
5350057.00,0.27
5350058.00,0.38
5350059.00,0.37
5350060.00,0.27
5350061.00,0.77
5350062.01,0.11
5350062.02,0.59
5350063.03,0.09
5350063.04,0.14
5350063.05,0.13
5350063.06,0.19
5350064.00,0.19
5350065.01,0.09
5350065.02,0.14
5350066.00,0.33
